time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,624.7092,622.5904,622.5904,620.6861,620.6861,620.9933,15500000,1.553384e+09
0.012,630.3603,625.6769,625.6769,621.7817,621.7817,622.1529,15500000,1.553384e+09
0.02625,637.0706,629.3129,629.3129,623.202,623.202,623.4859,15500000,1.553384e+09
0.042692308,644.8119,633.4709,633.4709,624.9414,624.9414,624.9675,15500000,1.553384e+09
0.062423077,654.096,638.4087,638.4087,627.1063,627.1063,626.6677,15500000,1.553384e+09
0.082153846,663.3698,643.2975,643.2975,629.4382,629.4382,628.5054,15500000,1.553384e+09
0.10188462,672.6269,648.1396,648.1396,631.9131,631.9131,630.7597,15500000,1.553384e+09
0.12161538,681.8604,652.9368,652.9368,634.5353,634.5353,633.1535,15500000,1.553384e+09
0.14134615,691.0631,657.6906,657.6906,637.2731,637.2731,635.6647,15500000,1.553384e+09
0.16107692,700.2282,662.4022,662.4022,640.1019,640.1019,638.2706,15500000,1.553384e+09
0.18080769,709.3493,667.0725,667.0725,643.0005,643.0005,640.9488,15500000,1.553384e+09
0.20053846,709.1293,666.6371,666.6371,645.3864,645.3864,643.3823,15500000,0
0.22026923,708.856,666.2352,666.2352,647.4744,647.4744,645.6263,15500000,0
0.24,708.5279,665.8624,665.8624,649.3049,649.3049,647.6697,15500000,0
0.25923077,708.1569,665.5231,665.5231,650.9517,650.9517,649.4605,15500000,0
0.27846154,707.7374,665.2048,665.2048,652.4755,652.4755,651.0405,15500000,0
0.29769231,707.2739,664.9049,664.9049,653.8101,653.8101,652.4207,15500000,0
0.31692308,706.7718,664.6209,664.6209,654.9664,654.9664,653.6136,15500000,0
0.33615385,706.2369,664.3509,664.3509,655.9564,655.9564,654.7613,15500000,0
0.35538462,705.6752,664.093,664.093,656.7929,656.7929,655.7844,15500000,0
0.37461538,705.0922,663.8456,663.8456,657.5178,657.5178,656.6614,15500000,0
0.39384615,704.4931,663.6073,663.6073,658.2456,658.2456,657.4037,15500000,0
0.41307692,703.8823,663.377,663.377,658.8543,658.8543,658.023,15500000,0
0.43230769,703.2636,663.1535,663.1535,659.3549,659.3549,658.5312,15500000,0
0.45153846,702.6404,662.936,662.936,659.7584,659.7584,658.9399,15500000,0
0.47076923,702.0152,662.7236,662.7236,660.0753,660.0753,659.366,15500000,0
0.49,701.3902,662.5157,662.5157,660.316,660.316,659.7312,15500000,0
0.50923077,700.7671,662.3118,662.3118,660.4898,660.4898,660.0195,15500000,0
0.52846154,700.1472,662.1113,662.1113,660.6056,660.6056,660.24,15500000,0
0.54769231,699.5315,661.9138,661.9138,660.7287,660.7287,660.4009,15500000,0
0.56692308,698.9207,661.7191,661.7191,660.8426,660.8426,660.5097,15500000,0
0.58615385,698.3154,661.5267,661.5267,660.9117,660.9117,660.5736,15500000,0
0.60538462,697.716,661.3364,661.3364,660.9423,660.9423,660.5989,15500000,0
0.62461538,697.1225,661.1481,661.1481,660.9399,660.9399,660.5912,15500000,0
0.64384615,696.5353,660.9616,660.9616,660.9095,660.9095,660.7041,15500000,0
0.66307692,695.9543,660.7767,660.7767,660.8555,660.8555,660.839,15500000,0
0.68230769,695.3795,660.5933,660.5933,660.7818,660.7818,660.9706,15500000,0
0.70153846,694.8109,660.4114,660.4114,660.6915,660.6915,661.065,15500000,0
0.72076923,694.2484,660.2308,660.2308,660.5876,660.5876,661.1267,15500000,0
0.74,693.692,660.0515,660.0515,660.4726,660.4726,661.1598,15500000,0
0.75923077,693.1414,659.8734,659.8734,660.3485,660.3485,661.1682,15500000,0
0.77846154,692.5967,659.6965,659.6965,660.2171,660.2171,661.1551,15500000,0
0.79769231,692.0576,659.5208,659.5208,660.0798,660.0798,661.1238,15500000,0
0.81692308,691.5241,659.3463,659.3463,659.9379,659.9379,661.0769,15500000,0
0.83615385,690.9961,659.1728,659.1728,659.7924,659.7924,661.0168,15500000,0
0.85538462,690.4734,659.0004,659.0004,659.6442,659.6442,660.9455,15500000,0
0.87461538,689.956,658.8291,658.8291,659.4939,659.4939,660.865,15500000,0
0.89384615,689.4437,658.6589,658.6589,659.3476,659.3476,660.7767,15500000,0
0.91307692,688.9364,658.4897,658.4897,659.2183,659.2183,660.6821,15500000,0
0.93230769,688.4341,658.3216,658.3216,659.0873,659.0873,660.5823,15500000,0
0.95153846,687.9367,658.1544,658.1544,658.955,658.955,660.4781,15500000,0
0.97076923,687.4441,657.9883,657.9883,658.8216,658.8216,660.3706,15500000,0
0.99,686.9562,657.8232,657.8232,658.6876,658.6876,660.2603,15500000,0
1.0092308,686.473,657.6592,657.6592,658.5531,658.5531,660.1478,15500000,0
