time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,623.8329,622.1123,622.1123,620.6562,620.6562,620.9933,15500000,1.682833e+09
0.012,628.4323,624.6343,624.6343,621.669,621.669,622.1529,15500000,1.682833e+09
0.02625,633.894,627.612,627.612,622.9778,622.9778,623.4859,15500000,1.682833e+09
0.042692308,640.195,631.0258,631.0258,624.5635,624.5635,624.9675,15500000,1.682833e+09
0.062423077,647.7526,635.0913,635.0913,626.5201,626.5201,626.6677,15500000,1.682833e+09
0.082153846,655.3034,639.1273,639.1273,628.6166,628.6166,628.2935,15500000,1.682833e+09
0.10188462,662.8435,643.135,643.135,630.835,630.835,629.9176,15500000,1.682833e+09
0.12161538,670.3683,647.1154,647.1154,633.1549,633.1549,632.0625,15500000,1.682833e+09
0.14134615,677.8733,651.0693,651.0693,635.5875,635.5875,634.3079,15500000,1.682833e+09
0.16107692,685.3543,654.9973,654.9973,638.1023,638.1023,636.6353,15500000,1.682833e+09
0.18080769,692.8071,658.8997,658.8997,640.6788,640.6788,639.0259,15500000,1.682833e+09
0.20053846,692.6657,658.6389,658.6389,642.8324,642.8324,641.2158,15500000,0
0.22026923,692.4905,658.3996,658.3996,644.7364,644.7364,643.1846,15500000,0
0.24,692.2806,658.1789,658.1789,646.4222,646.4222,645.0401,15500000,0
0.25923077,692.0437,657.9794,657.9794,647.8834,647.8834,646.68,15500000,0
0.27846154,691.7763,657.7936,657.7936,649.2792,649.2792,648.14,15500000,0
0.29769231,691.4815,657.6198,657.6198,650.5284,650.5284,649.4282,15500000,0
0.31692308,691.1628,657.4565,657.4565,651.6229,651.6229,650.5539,15500000,0
0.33615385,690.824,657.3023,657.3023,652.5719,652.5719,651.5437,15500000,0
0.35538462,690.4689,657.1559,657.1559,653.3857,653.3857,652.5136,15500000,0
0.37461538,690.1011,657.0164,657.0164,654.0754,654.0754,653.3554,15500000,0
0.39384615,689.7237,656.8828,656.8828,654.7006,654.7006,654.0782,15500000,0
0.41307692,689.3396,656.7543,656.7543,655.3046,655.3046,654.6918,15500000,0
0.43230769,688.9511,656.6302,656.6302,655.8121,655.8121,655.2061,15500000,0
0.45153846,688.5603,656.5097,656.5097,656.2322,656.2322,655.6307,15500000,0
0.47076923,688.1687,656.3925,656.3925,656.5742,656.5742,655.9753,15500000,0
0.49,687.7776,656.2779,656.2779,656.8466,656.8466,656.3301,15500000,0
0.50923077,687.388,656.1657,656.1657,657.0578,657.0578,656.6398,15500000,0
0.52846154,687.0007,656.0554,656.0554,657.2156,657.2156,656.8878,15500000,0
