time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,670.5324,669.396,669.396,668.0962,668.0962,668.0112,15500000,8e+08
0.012,673.5713,671.0627,671.0627,668.2754,668.2754,668.0497,15500000,8e+08
0.02625,677.1799,673.0308,673.0308,668.5405,668.5405,668.1344,15500000,8e+08
0.042692308,681.3438,675.2876,675.2876,668.8945,668.8945,668.2808,15500000,8e+08
0.062423077,686.3404,677.9768,677.9768,669.3692,669.3692,668.5141,15500000,8e+08
0.082153846,691.337,680.6477,680.6477,669.8903,669.8903,668.8062,15500000,8e+08
0.10188462,696.3336,683.3014,683.3014,670.4517,670.4517,669.1503,15500000,8e+08
0.12161538,701.3302,685.9383,685.9383,671.047,671.047,669.5396,15500000,8e+08
0.14134615,706.3268,688.5591,688.5591,671.6879,671.6879,669.9674,15500000,8e+08
0.16107692,711.3234,691.1643,691.1643,672.3586,672.3586,670.4343,15500000,8e+08
0.18080769,716.32,693.7544,693.7544,673.0535,673.0535,670.9425,15500000,8e+08
0.20053846,716.3199,693.5863,693.5863,673.5185,673.5185,671.4292,15500000,0
0.22026923,716.3199,693.4252,693.4252,673.8906,673.8906,671.8733,15500000,0
0.24,716.3198,693.2701,693.2701,674.2026,674.2026,672.2685,15500000,0
0.25923077,716.3196,693.1237,693.1237,674.4602,674.4602,672.6089,15500000,0
0.27846154,716.3193,692.9816,692.9816,674.6822,674.6822,672.9031,15500000,0
0.29769231,716.319,692.8434,692.8434,674.9092,674.9092,673.1912,15500000,0
0.31692308,716.3184,692.7085,692.7085,675.1,675.1,673.4469,15500000,0
0.33615385,716.3176,692.5767,692.5767,675.2568,675.2568,673.666,15500000,0
0.35538462,716.3165,692.4476,692.4476,675.3817,675.3817,673.8506,15500000,0
0.37461538,716.3151,692.3211,692.3211,675.4777,675.4777,674.0032,15500000,0
0.39384615,716.3132,692.1969,692.1969,675.5474,675.5474,674.1262,15500000,0
0.41307692,716.3107,692.0747,692.0747,675.5937,675.5937,674.2375,15500000,0
0.43230769,716.3076,691.9545,691.9545,675.6526,675.6526,674.3501,15500000,0
0.45153846,716.3038,691.836,691.836,675.6993,675.6993,674.4393,15500000,0
0.47076923,716.299,691.7192,691.7192,675.7273,675.7273,674.5072,15500000,0
0.49,716.2933,691.6039,691.6039,675.7391,675.7391,674.556,15500000,0
0.50923077,716.2865,691.4901,691.4901,675.7366,675.7366,674.5879,15500000,0
0.52846154,716.2784,691.3775,691.3775,675.7221,675.7221,674.6049,15500000,0
