time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,902.5539,775.1855,775.1855,633.9547,633.9547,626.0357,15500000,9.320305e+10
0.002,959.0647,806.1722,806.1722,637.4239,637.4239,627.4656,15500000,9.320305e+10
0.004,1015.575,837.1093,837.1093,641.2343,641.2343,629.1835,15500000,9.320305e+10
0.006,1072.086,867.9973,867.9973,645.3148,645.3148,631.1806,15500000,9.320305e+10
0.008,1128.597,898.8368,898.8368,649.6508,649.6508,633.451,15500000,9.320305e+10
0.01,1185.108,929.6284,929.6284,654.2366,654.2366,635.9897,15500000,9.320305e+10
0.012,1241.618,960.3726,960.3726,659.0678,659.0678,638.7916,15500000,9.320305e+10
0.014,1298.129,991.0699,991.0699,664.1404,664.1404,641.8517,15500000,9.320305e+10
0.016,1354.64,1021.721,1021.721,669.4504,669.4504,645.1651,15500000,9.320305e+10
0.018,1411.15,1052.325,1052.325,674.9939,674.9939,648.727,15500000,9.320305e+10
0.02,1467.661,1082.885,1082.885,680.767,680.767,652.5328,15500000,9.320305e+10
0.022,1524.171,1113.399,1113.399,686.7657,686.7657,656.5776,15500000,9.320305e+10
0.024,1580.682,1143.868,1143.868,692.986,692.986,660.8757,15500000,9.320305e+10
0.026,1637.192,1174.293,1174.293,699.4241,699.4241,665.4274,15500000,9.320305e+10
0.028,1693.702,1204.674,1204.674,706.076,706.076,670.214,15500000,9.320305e+10
0.03,1750.212,1235.011,1235.011,712.9378,712.9378,675.232,15500000,9.320305e+10
0.032,1806.722,1265.305,1265.305,720.0055,720.0055,680.4777,15500000,9.320305e+10
0.034,1863.232,1295.556,1295.556,727.2753,727.2753,685.9473,15500000,9.320305e+10
0.036,1919.741,1325.765,1325.765,734.7432,734.7432,691.6372,15500000,9.320305e+10
0.038,1976.25,1355.931,1355.931,742.4054,742.4054,697.5438,15500000,9.320305e+10
0.04,2032.759,1386.056,1386.056,750.2578,750.2578,703.6634,15500000,9.320305e+10
0.042,2089.267,1416.139,1416.139,758.2967,758.2967,709.9925,15500000,9.320305e+10
0.044,2145.774,1446.181,1446.181,766.5181,766.5181,716.5274,15500000,9.320305e+10
0.046,2202.281,1476.182,1476.182,774.9182,774.9182,723.2646,15500000,9.320305e+10
0.048,2258.787,1506.142,1506.142,783.493,783.493,730.2004,15500000,9.320305e+10
0.05,2315.293,1536.062,1536.062,792.2389,792.2389,737.3313,15500000,9.320305e+10
0.052,2371.797,1565.942,1565.942,801.1519,801.1519,744.6537,15500000,9.320305e+10
0.054,2428.299,1595.782,1595.782,810.2281,810.2281,752.1641,15500000,9.320305e+10
