time_s,fuel_center_k,fuel_average_k,fuel_surface_k,clad_inner_k,clad_outer_k,water_temperature_k,pressure_pa,genfoam_total_power_w
0,646.9164,633.6687,633.6687,637.1667,637.1667,626.2366,15500000,1.070447e+10
0.005,670.8445,646.0572,646.0572,655.6352,655.6352,636.7935,15500000,1.070447e+10
0.01,692.7984,657.6881,657.6881,674.2646,674.2646,650.1551,15500000,1.070447e+10
0.015,713.4998,668.8318,668.8318,692.8606,692.8606,665.2475,15500000,1.070447e+10
0.02,733.3936,679.6501,679.6501,711.3777,711.3777,681.3801,15500000,1.070447e+10
0.025,752.7499,690.2423,690.2423,729.8012,729.8012,698.1169,15500000,1.070447e+10
0.03,771.7338,700.6699,700.6699,748.1242,748.1242,715.1838,15500000,1.070447e+10
0.035,790.446,710.9712,710.9712,766.342,766.342,732.4088,15500000,1.070447e+10
0.04,808.9481,721.1695,721.1695,784.451,784.451,749.6985,15500000,1.070447e+10
0.045,827.2772,731.2794,731.2794,802.4478,802.4478,767.2008,15500000,1.070447e+10
0.05,845.4554,741.3098,741.3098,820.3294,820.3294,784.6953,15500000,1.070447e+10
0.055,863.4954,751.2661,751.2661,838.0929,838.0929,802.1535,15500000,1.070447e+10
0.06,881.404,761.1515,761.1515,855.7355,855.7355,819.5564,15500000,1.070447e+10
0.065,899.1846,770.9678,770.9678,873.2544,873.2544,836.8912,15500000,1.070447e+10
0.07,916.8382,780.7163,780.7163,890.647,890.647,854.1491,15500000,1.070447e+10
0.075,934.3645,790.3974,790.3974,907.9108,907.9108,871.3233,15500000,1.070447e+10
0.08,951.7623,800.0115,800.0115,925.0432,925.0432,888.409,15500000,1.070447e+10
0.085,969.0301,809.5585,809.5585,942.0419,942.0419,905.4019,15500000,1.070447e+10
0.09,986.1658,819.0385,819.0385,959.0106,959.0106,922.2988,15500000,1.070447e+10
0.095,1003.167,828.4513,828.4513,976.2516,976.2516,939.0964,15500000,1.070447e+10
0.1,1020.033,837.7967,837.7967,993.403,993.403,955.792,15500000,1.070447e+10
0.105,1036.76,847.0746,847.0746,1010.463,1010.463,972.383,15500000,1.070447e+10
0.11,1053.347,856.2848,856.2848,1027.428,1027.428,988.867,15500000,1.070447e+10
0.115,1070.284,865.4271,865.4271,1044.296,1044.296,1005.242,15500000,1.070447e+10
0.12,1087.249,874.5013,874.5013,1061.065,1061.065,1021.504,15500000,1.070447e+10
0.125,1104.117,883.5072,883.5072,1077.733,1077.733,1037.653,15500000,1.070447e+10
0.13,1120.886,892.4447,892.4447,1094.297,1094.297,1053.686,15500000,1.070447e+10
0.135,1137.554,901.3135,901.3135,1110.755,1110.755,1069.601,15500000,1.070447e+10
0.14,1154.119,910.1135,910.1135,1127.104,1127.104,1085.396,15500000,1.070447e+10
0.145,1170.577,918.8447,918.8447,1143.343,1143.343,1101.069,15500000,1.070447e+10
0.15,1186.928,927.5067,927.5067,1159.47,1159.47,1116.618,15500000,1.070447e+10
0.155,1203.168,936.0995,936.0995,1175.482,1175.482,1132.041,15500000,1.070447e+10
0.16,1219.296,944.623,944.623,1191.378,1191.378,1147.337,15500000,1.070447e+10
0.165,1235.31,953.077,953.077,1207.155,1207.155,1162.504,15500000,1.070447e+10
0.17,1251.208,961.4615,961.4615,1222.811,1222.811,1177.54,15500000,1.070447e+10
0.175,1266.987,969.7763,969.7763,1238.346,1238.346,1192.444,15500000,1.070447e+10
0.18,1282.646,978.0214,978.0214,1253.757,1253.757,1207.214,15500000,1.070447e+10
0.185,1298.184,986.1967,986.1967,1269.042,1269.042,1221.849,15500000,1.070447e+10
0.19,1313.597,994.3022,994.3022,1284.199,1284.199,1236.348,15500000,1.070447e+10
0.195,1328.886,1002.338,1002.338,1299.228,1299.228,1250.709,15500000,1.070447e+10
0.2,1344.047,1010.303,1010.303,1314.127,1314.127,1264.931,15500000,1.070447e+10
0.205,1359.08,1018.199,1018.199,1328.894,1328.894,1279.013,15500000,1.070447e+10
